"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"s:\ProjectFiles\React\project-battle-lobby\next.config.mjs", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"s:\ProjectFiles\React\project-battle-lobby\package.json", "JSON", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 62
"s:\ProjectFiles\React\project-battle-lobby\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2248, 0, 0, 273, 2521
"s:\ProjectFiles\React\project-battle-lobby\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"s:\ProjectFiles\React\project-battle-lobby\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\project-battle-lobby\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\project-battle-lobby\schemas\UserSchemas.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"s:\ProjectFiles\React\project-battle-lobby\tailwind.config.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"s:\ProjectFiles\React\project-battle-lobby\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 662, 26, 23, 8, 78, 2, 3716, 2248, 48, 124, 751, 7686
